condition,weight,residence_gain_mean,residence_gain_min,residence_gain_max,residence_01_all_seeds_and_mean,half_headroom_pass_seeds,half_headroom_fail_seeds,half_headroom_undefined_seeds,source_allowance_pass_seeds,source_allowance_fail_seeds,source_allowance_undefined_seeds,seeds
A0,person_weighted,0.02830693332934479,0.024876591717077512,0.03275263661294853,True,0,3,0,3,0,0,3
A0,unweighted,0.03179846526103447,0.02765675057256395,0.03658678982101676,True,2,1,0,3,0,0,3
E,person_weighted,0.023319822067436862,0.01964081974188886,0.027274779068244492,True,0,3,0,3,0,0,3
E,unweighted,0.025273318738728012,0.01883145384085727,0.029775139679038387,True,0,3,0,3,0,0,3
H,person_weighted,0.0,0.0,0.0,False,0,3,0,3,0,0,3
H,unweighted,0.0,0.0,0.0,False,0,3,0,3,0,0,3
J,person_weighted,0.019516442668622087,0.016525967397038377,0.02472407578754704,True,0,3,0,3,0,0,3
J,unweighted,0.02152847136006301,0.01748037269288205,0.029512328033151514,True,0,3,0,3,0,0,3
L025,person_weighted,0.01642208781772479,0.014585223811115211,0.018945749964986547,True,0,3,0,3,0,0,3
L025,unweighted,0.01809829142237644,0.01559472144043006,0.019613866212960684,True,0,3,0,3,0,0,3
L20,person_weighted,0.015357065989553923,0.006476492045552618,0.026718861200480837,False,0,3,0,3,0,0,3
L20,unweighted,0.017847227927375475,0.013423819994344832,0.025606722833284024,True,1,2,0,3,0,0,3
leace_A0,person_weighted,0.02051468598539728,0.018111306065811295,0.024735314773988937,True,0,3,0,3,0,0,3
leace_A0,unweighted,0.02201813364158382,0.020033692025776317,0.02539200660451091,True,0,3,0,3,0,0,3
optnet16_C1,person_weighted,0.01691206373369808,0.015246928402904036,0.018453423315983097,True,0,3,0,1,2,0,3
optnet16_C1,unweighted,0.017018076773175534,0.014762858886796293,0.018197530593797362,True,0,3,0,2,1,0,3
optnet16_L1,person_weighted,0.01988583655852884,0.018267819058289614,0.02107506221826927,True,0,3,0,2,1,0,3
optnet16_L1,unweighted,0.01985703072664417,0.016858229542660474,0.02200655892049075,True,0,3,0,2,1,0,3
optnet16_L2,person_weighted,0.016300221011118166,0.014302335479057293,0.018231224878433316,True,0,3,0,2,1,0,3
optnet16_L2,unweighted,0.015941481391740082,0.013407007788900471,0.018003427358805335,True,0,3,0,2,1,0,3
spectral_C025,person_weighted,0.026441882208432854,0.02384860340275896,0.0300341214883601,True,0,3,0,2,1,0,3
spectral_C025,unweighted,0.03039991931255694,0.02796724078932078,0.03227002255655559,True,2,1,0,2,1,0,3
spectral_C1,person_weighted,0.0241886280878368,0.02086640480409041,0.027991286507077606,True,0,3,0,1,2,0,3
spectral_C1,unweighted,0.026479868909276155,0.022130819400206447,0.028922934018490998,True,0,3,0,2,1,0,3
spectral_L025,person_weighted,0.025414195693493624,0.0230406320608339,0.028231009348584468,True,0,3,0,1,2,0,3
spectral_L025,unweighted,0.029405246205466345,0.028608292505979016,0.030580601909003025,True,1,2,0,1,2,0,3
spectral_L1,person_weighted,0.02603728328696033,0.02275034003858717,0.028281447701467455,True,0,3,0,2,1,0,3
spectral_L1,unweighted,0.02878617451493583,0.027294550903441295,0.029850383183138707,True,1,2,0,2,1,0,3
spectral_L2,person_weighted,0.025998373344888526,0.02494930146973584,0.02670021622778007,True,0,3,0,1,2,0,3
spectral_L2,unweighted,0.02853672854483526,0.023547649305407425,0.03371921452538912,True,1,2,0,1,2,0,3
spectral_M025,person_weighted,0.026402348168708605,0.02054400613985552,0.031695824884370005,True,0,3,0,1,2,0,3
spectral_M025,unweighted,0.02802310919482276,0.02355288160818869,0.035259323748766724,True,1,2,0,2,1,0,3
spectral_M1,person_weighted,0.028370316240826476,0.02403150708008228,0.03234823645061086,True,1,2,0,1,2,0,3
spectral_M1,unweighted,0.030618481090995797,0.029274252953393032,0.03206111013639423,True,1,2,0,1,2,0,3
spectral_S0,person_weighted,0.02835488207311258,0.025869615769121945,0.03300406479684448,True,0,3,0,1,2,0,3
spectral_S0,unweighted,0.03192002294623127,0.026406525654879998,0.034928937540751215,True,3,0,0,0,3,0,3
spectral_lin8_C1,person_weighted,0.025594467253322113,0.022129964548491365,0.027765514741867836,True,1,2,0,2,1,0,3
spectral_lin8_C1,unweighted,0.026124278699566777,0.021320775413203097,0.031442912885657426,True,0,3,0,2,1,0,3
spectral_lin8_L1,person_weighted,0.024805599102840952,0.021695914440845065,0.027422951495486847,True,0,3,0,2,1,0,3
spectral_lin8_L1,unweighted,0.02701211102617579,0.02226444707999653,0.03377427817692563,True,1,2,0,2,1,0,3
spectral_lin8_L2,person_weighted,0.025712716545416587,0.024421571359609984,0.028038230755929094,True,1,2,0,2,1,0,3
spectral_lin8_L2,unweighted,0.025513009491885157,0.022859778354680005,0.030621851712285653,True,0,3,0,2,1,0,3
spectral_nlr16_C1,person_weighted,0.02543785659719718,0.02271311687168298,0.029938742780246108,True,0,3,0,1,2,0,3
spectral_nlr16_C1,unweighted,0.027737496438144715,0.02273733531426947,0.03237371071565642,True,0,3,0,1,2,0,3
spectral_nlr16_L1,person_weighted,0.02562777969576054,0.02343790058333628,0.027434429192546406,True,0,3,0,1,2,0,3
spectral_nlr16_L1,unweighted,0.028757120531704688,0.025854441284815843,0.03165308142671064,True,2,1,0,2,1,0,3
spectral_nlr16_L2,person_weighted,0.0243040115102708,0.020173834504764454,0.029687623772838345,True,0,3,0,1,2,0,3
spectral_nlr16_L2,unweighted,0.025064151484608905,0.02089912292966234,0.031474038446549946,True,0,3,0,2,1,0,3
spectral_nlr8_C1,person_weighted,0.02383359401050748,0.01879111079925655,0.026860032508546794,True,0,3,0,1,2,0,3
spectral_nlr8_C1,unweighted,0.025879516068784802,0.018363243620439174,0.032164534580816806,True,1,2,0,1,2,0,3
spectral_nlr8_L1,person_weighted,0.023416918978903672,0.01890716018162525,0.025864994631032312,True,0,3,0,1,2,0,3
spectral_nlr8_L1,unweighted,0.025970619584141114,0.020757393870821428,0.03121588209144055,True,0,3,0,2,1,0,3
spectral_nlr8_L2,person_weighted,0.02276948741726666,0.018153775606325362,0.02733370825004733,True,0,3,0,2,1,0,3
spectral_nlr8_L2,unweighted,0.025294826692963474,0.01903299310417228,0.03231403987551712,True,1,2,0,3,0,0,3
spectral_riv16_C1,person_weighted,0.024476359246516605,0.019927448574167506,0.030254163989729688,True,0,3,0,1,2,0,3
spectral_riv16_C1,unweighted,0.025589875504156517,0.022627266256811218,0.03095545994761828,True,0,3,0,1,2,0,3
spectral_riv16_L1,person_weighted,0.02660882763766263,0.024536380891354015,0.02984033664706559,True,0,3,0,1,2,0,3
spectral_riv16_L1,unweighted,0.02949866464766787,0.025006968746865588,0.03184771254017127,True,1,2,0,1,2,0,3
spectral_riv16_L2,person_weighted,0.023812975374279028,0.019732805144239196,0.029268392300007995,True,0,3,0,1,2,0,3
spectral_riv16_L2,unweighted,0.0245474838859272,0.021538716116556333,0.029817481344672547,True,0,3,0,1,2,0,3
