seed,split,release,selector,target,n_classes,class_schema,complete,limitations,fit_support,validation_support,evaluation_support,exposed_primary_recall,exposed_candidate,audit_candidate,limitation_census_codes
0,validation,beta_0p1_C_warmup_only,primary,SEX,2,"[0,1]",True,{},"[1512,1481]","[1541,1444]","[1541,1444]","[1.0,1.0]",mlp_0,mlp_1,{}
0,validation,beta_0p1_C_warmup_only,primary,RAC1P,9,"[0,1,2,3,4,5,6,7,8]",False,"{""fit"":[3],""validation"":[3],""evaluation"":[3],""exposed_recall"":[3]}","[1704,173,17,0,4,461,22,424,188]","[1737,144,18,0,11,468,16,409,182]","[1737,144,18,0,11,468,16,409,182]","[1.0,1.0,1.0,null,1.0,1.0,1.0,1.0,1.0]",mlp_0,mlp_0,"{""fit"":[4],""validation"":[4],""evaluation"":[4],""exposed_recall"":[4]}"
0,validation,beta_0p1_D_warmup_only,primary,SEX,2,"[0,1]",True,{},"[1512,1481]","[1541,1444]","[1541,1444]","[1.0,1.0]",mlp_0,mlp_1,{}
0,validation,beta_0p1_D_warmup_only,primary,RAC1P,9,"[0,1,2,3,4,5,6,7,8]",False,"{""fit"":[3],""validation"":[3],""evaluation"":[3],""exposed_recall"":[3]}","[1704,173,17,0,4,461,22,424,188]","[1737,144,18,0,11,468,16,409,182]","[1737,144,18,0,11,468,16,409,182]","[1.0,1.0,1.0,null,1.0,1.0,1.0,1.0,1.0]",mlp_0,mlp_0,"{""fit"":[4],""validation"":[4],""evaluation"":[4],""exposed_recall"":[4]}"
0,validation,beta_0p1_C_persistent,primary,SEX,2,"[0,1]",True,{},"[1512,1481]","[1541,1444]","[1541,1444]","[1.0,1.0]",mlp_0,mlp_1,{}
0,validation,beta_0p1_C_persistent,primary,RAC1P,9,"[0,1,2,3,4,5,6,7,8]",False,"{""fit"":[3],""validation"":[3],""evaluation"":[3],""exposed_recall"":[3]}","[1704,173,17,0,4,461,22,424,188]","[1737,144,18,0,11,468,16,409,182]","[1737,144,18,0,11,468,16,409,182]","[1.0,1.0,1.0,null,1.0,1.0,1.0,1.0,1.0]",mlp_0,mlp_0,"{""fit"":[4],""validation"":[4],""evaluation"":[4],""exposed_recall"":[4]}"
0,validation,beta_0p1_D_persistent,primary,SEX,2,"[0,1]",True,{},"[1512,1481]","[1541,1444]","[1541,1444]","[1.0,1.0]",mlp_0,mlp_1,{}
0,validation,beta_0p1_D_persistent,primary,RAC1P,9,"[0,1,2,3,4,5,6,7,8]",False,"{""fit"":[3],""validation"":[3],""evaluation"":[3],""exposed_recall"":[3]}","[1704,173,17,0,4,461,22,424,188]","[1737,144,18,0,11,468,16,409,182]","[1737,144,18,0,11,468,16,409,182]","[1.0,1.0,1.0,null,1.0,1.0,1.0,1.0,1.0]",mlp_0,mlp_0,"{""fit"":[4],""validation"":[4],""evaluation"":[4],""exposed_recall"":[4]}"
0,validation,beta_1_C_warmup_only,primary,SEX,2,"[0,1]",True,{},"[1512,1481]","[1541,1444]","[1541,1444]","[1.0,1.0]",mlp_0,mlp_1,{}
0,validation,beta_1_C_warmup_only,primary,RAC1P,9,"[0,1,2,3,4,5,6,7,8]",False,"{""fit"":[3],""validation"":[3],""evaluation"":[3],""exposed_recall"":[3]}","[1704,173,17,0,4,461,22,424,188]","[1737,144,18,0,11,468,16,409,182]","[1737,144,18,0,11,468,16,409,182]","[1.0,1.0,1.0,null,1.0,1.0,1.0,1.0,1.0]",mlp_0,mlp_0,"{""fit"":[4],""validation"":[4],""evaluation"":[4],""exposed_recall"":[4]}"
0,validation,beta_1_D_warmup_only,primary,SEX,2,"[0,1]",True,{},"[1512,1481]","[1541,1444]","[1541,1444]","[1.0,1.0]",mlp_0,mlp_1,{}
0,validation,beta_1_D_warmup_only,primary,RAC1P,9,"[0,1,2,3,4,5,6,7,8]",False,"{""fit"":[3],""validation"":[3],""evaluation"":[3],""exposed_recall"":[3]}","[1704,173,17,0,4,461,22,424,188]","[1737,144,18,0,11,468,16,409,182]","[1737,144,18,0,11,468,16,409,182]","[1.0,1.0,1.0,null,1.0,1.0,1.0,1.0,1.0]",mlp_0,mlp_0,"{""fit"":[4],""validation"":[4],""evaluation"":[4],""exposed_recall"":[4]}"
0,validation,beta_1_C_persistent,primary,SEX,2,"[0,1]",True,{},"[1512,1481]","[1541,1444]","[1541,1444]","[1.0,1.0]",mlp_0,mlp_1,{}
0,validation,beta_1_C_persistent,primary,RAC1P,9,"[0,1,2,3,4,5,6,7,8]",False,"{""fit"":[3],""validation"":[3],""evaluation"":[3],""exposed_recall"":[3]}","[1704,173,17,0,4,461,22,424,188]","[1737,144,18,0,11,468,16,409,182]","[1737,144,18,0,11,468,16,409,182]","[1.0,1.0,1.0,null,1.0,1.0,1.0,1.0,1.0]",mlp_0,mlp_0,"{""fit"":[4],""validation"":[4],""evaluation"":[4],""exposed_recall"":[4]}"
0,validation,beta_1_D_persistent,primary,SEX,2,"[0,1]",True,{},"[1512,1481]","[1541,1444]","[1541,1444]","[1.0,1.0]",mlp_0,mlp_1,{}
0,validation,beta_1_D_persistent,primary,RAC1P,9,"[0,1,2,3,4,5,6,7,8]",False,"{""fit"":[3],""validation"":[3],""evaluation"":[3],""exposed_recall"":[3]}","[1704,173,17,0,4,461,22,424,188]","[1737,144,18,0,11,468,16,409,182]","[1737,144,18,0,11,468,16,409,182]","[1.0,1.0,1.0,null,1.0,1.0,1.0,1.0,1.0]",mlp_0,mlp_0,"{""fit"":[4],""validation"":[4],""evaluation"":[4],""exposed_recall"":[4]}"
0,validation,beta_0p1_C_warmup_only,catchup_inclusive,SEX,2,"[0,1]",True,{},"[1512,1481]","[1541,1444]","[1541,1444]","[1.0,1.0]",mlp_0,mlp_1,{}
0,validation,beta_0p1_C_warmup_only,catchup_inclusive,RAC1P,9,"[0,1,2,3,4,5,6,7,8]",False,"{""fit"":[3],""validation"":[3],""evaluation"":[3],""exposed_recall"":[3]}","[1704,173,17,0,4,461,22,424,188]","[1737,144,18,0,11,468,16,409,182]","[1737,144,18,0,11,468,16,409,182]","[1.0,1.0,1.0,null,1.0,1.0,1.0,1.0,1.0]",mlp_0,mlp_0,"{""fit"":[4],""validation"":[4],""evaluation"":[4],""exposed_recall"":[4]}"
0,validation,beta_0p1_D_warmup_only,catchup_inclusive,SEX,2,"[0,1]",True,{},"[1512,1481]","[1541,1444]","[1541,1444]","[1.0,1.0]",mlp_0,mlp_1,{}
